particle,frame,y,x,equivalent_diameter,perimeter,eccentricity,orientation_x_2_sin,orientation_x_2_cos,true_solidity,solidity,area,mean_intensity,angle,wtd_frame,wtd_y,wtd_x,wtd_equivalent_diameter,wtd_perimeter,wtd_eccentricity,wtd_orientation_x_2_sin,wtd_orientation_x_2_cos,wtd_true_solidity,wtd_solidity,wtd_area,wtd_mean_intensity,wtd_angle,bbox_top,bbox_left,bbox_bottom,bbox_right
4,26.000000,21.409523,497.617816,41.695826,204.110851,0.839742,-0.711958,-0.702223,0.204280,0.703863,1365.447600,49.000000,-1.174655,265.200000,24.608647,571.974501,35.944677,58.652543,4.198708,-3.559788,-3.511113,3.208827,0.703863,1804.000000,49.000000,-1.174655,1.000000,543.000000,84.000000,595.000000
4,27.000000,21.418165,496.426619,40.867079,188.749387,0.854217,-0.743739,-0.668470,0.216515,0.763436,1311.707700,49.000000,-1.151473,275.400000,24.618580,570.605309,35.230240,54.238330,4.271086,-3.718695,-3.342351,3.401010,0.763436,1733.000000,49.000000,-1.151473,1.000000,542.000000,80.000000,591.000000
4,28.000000,18.466837,493.569967,41.891825,190.036278,0.764991,-0.887560,-0.460693,0.220441,0.760334,1378.314900,49.000000,-1.024786,285.600000,21.226249,567.321801,36.113643,54.608126,3.824956,-4.437799,-2.303463,3.462682,0.760334,1821.000000,49.000000,-1.024786,0.000000,539.000000,75.000000,590.000000
4,29.000000,19.285641,491.499530,41.765107,187.426278,0.779298,-0.858695,-0.512487,0.222835,0.761785,1369.989000,55.000000,-1.054438,295.800000,22.167403,564.941989,36.004403,53.858126,3.896488,-4.293474,-2.562436,3.500282,0.761785,1810.000000,55.000000,-1.054438,0.000000,539.000000,76.000000,587.000000
4,30.000000,18.890995,489.789756,40.701672,194.895912,0.733416,-0.933667,-0.358141,0.208838,0.718345,1301.111100,56.000000,-0.968536,306.000000,21.713787,562.976731,35.087648,56.004572,3.667081,-4.668337,-1.790707,3.280420,0.718345,1719.000000,56.000000,-0.968536,1.000000,538.000000,74.000000,584.000000
4,31.000000,19.964448,483.118802,43.116195,192.497010,0.705368,-0.980689,-0.195572,0.223984,0.761548,1460.060100,54.000000,-0.883818,316.200000,22.947641,555.308968,37.169133,55.315233,3.526840,-4.903447,-0.977858,3.518328,0.761548,1929.000000,54.000000,-0.883818,0.000000,529.000000,68.000000,579.000000
4,32.000000,17.925892,482.384703,43.538804,177.768839,0.753743,-0.999928,0.012035,0.244918,0.892468,1488.822300,51.000000,-0.779381,326.400000,20.604474,554.465175,37.533451,51.083000,3.768717,-4.999638,0.060174,3.847164,0.892468,1967.000000,51.000000,-0.779381,0.000000,521.000000,61.000000,578.000000
4,33.000000,19.348217,478.618914,42.235488,167.323535,0.756263,-0.962778,-0.270294,0.252418,0.887344,1401.021900,51.000000,-0.922247,336.600000,22.239330,550.136683,36.409904,48.081475,3.781314,-4.813889,-1.351469,3.964974,0.887344,1851.000000,51.000000,-0.922247,0.000000,524.000000,58.000000,575.000000
4,34.000000,19.434793,480.323320,44.523722,184.337558,0.688078,-0.933994,-0.357290,0.241534,0.830105,1556.943300,45.000000,-0.968080,346.800000,22.338843,552.095771,38.382519,52.970563,3.440392,-4.669968,-1.786449,3.794002,0.830105,2057.000000,45.000000,-0.968080,0.000000,524.000000,62.000000,577.000000
4,35.000000,19.394505,477.973316,43.560933,169.485729,0.565580,-0.995973,-0.089655,0.257018,0.855715,1490.336100,47.000000,-0.830286,357.000000,22.292534,549.394617,37.552528,48.702796,2.827900,-4.979864,-0.448275,4.037234,0.855715,1969.000000,47.000000,-0.830286,0.000000,524.000000,53.000000,575.000000
4,36.000000,19.412034,477.746283,44.447900,180.136827,0.409695,-0.992918,-0.118802,0.246745,0.820000,1551.645000,46.000000,-0.844940,367.200000,22.312683,549.133659,38.317155,51.763456,2.048474,-4.964590,-0.594011,3.875865,0.820000,2050.000000,46.000000,-0.844940,0.000000,525.000000,54.000000,579.000000
8,0.000000,810.204436,587.094724,46.936686,172.368656,0.721416,-0.735048,-0.678015,0.272304,0.958089,1730.273400,54.000000,-1.157928,0.000000,931.269466,674.821522,40.462661,49.531223,3.607079,-3.675239,-3.390077,4.277342,0.958089,2286.000000,54.000000,-1.157928,896.000000,653.000000,961.000000,704.000000
8,1.000000,810.298095,586.137429,47.069957,175.848656,0.712972,-0.645898,-0.763424,0.267673,0.940671,1740.113100,50.000000,-1.219697,10.200000,931.377120,673.721183,40.577549,50.531223,3.564862,-3.229488,-3.817120,4.204599,0.940671,2299.000000,50.000000,-1.219697,896.000000,653.000000,963.000000,704.000000
8,2.000000,814.250497,581.861900,45.550833,184.548656,0.812128,0.172402,-0.985027,0.246823,0.895218,1629.605700,51.000000,1.484163,20.400000,935.920111,668.806781,39.267960,53.031223,4.060642,0.862008,-4.925134,3.877085,0.895218,2153.000000,51.000000,1.484163,901.000000,652.000000,981.000000,694.000000
8,3.000000,819.083629,576.638114,42.711972,172.070119,0.907327,0.316133,-0.948715,0.248224,0.944611,1432.811700,53.000000,1.409971,30.600000,941.475436,662.802430,36.820665,49.445436,4.536636,1.580665,-4.743574,3.899097,0.944611,1893.000000,53.000000,1.409971,903.000000,647.000000,984.000000,683.000000
8,4.000000,822.264157,573.470466,43.361365,186.834509,0.935608,0.403855,-0.914823,0.232084,0.962981,1476.711900,54.000000,1.362933,40.800000,945.131215,659.161456,37.380487,53.688077,4.678042,2.019277,-4.574114,3.645572,0.962981,1951.000000,54.000000,1.362933,902.000000,643.000000,995.000000,679.000000
8,5.000000,818.206361,572.927698,43.116195,175.761216,0.926794,0.284561,-0.958658,0.245311,0.954006,1460.060100,54.000000,1.426522,51.000000,940.467081,658.537584,37.169133,50.506097,4.633972,1.422804,-4.793290,3.853339,0.954006,1929.000000,54.000000,1.426522,896.000000,642.000000,981.000000,677.000000
